Unnamed: 0,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Average GPA,Median Grade,Standard Deviation,Difference,Instructor Last Name
0,AAS,100,3,76,22,18,18,8,1,2,1,1,0,0,3,0,"Zheng, Reanne",3.54,A,0.53,0.01,Zheng
1,AAS,100,21,12,0,1,0,0,0,0,0,0,0,0,0,0,"Manalansan, Martin F",3.98,A+,0.11,0.81,Manalansan
2,AAS,100,0,38,6,2,1,1,0,0,0,0,0,0,1,0,"Shin, Jeongsu",3.8,A,0.29,0.45,Shin
3,AAS,100,0,11,11,4,3,3,0,1,0,0,0,0,0,0,"Mariano, Lorena",3.54,A-,0.5,0.35,Mariano
4,AAS,100,11,47,22,8,10,1,3,2,1,0,1,0,5,0,"Guruparan, Akil",3.47,A,0.58,0.39,Guruparan
5,AAS,100,6,89,17,12,20,6,5,6,4,0,0,1,2,0,"Atienza, Paul Michael L",3.51,A,0.67,0.27,Atienza
6,AAS,100,10,26,19,8,11,9,4,5,3,1,5,2,3,1,"Paik, Angela N",3.11,A-,0.92,-0.22,Paik
7,AAS,100,1,128,57,24,22,7,3,5,2,0,2,1,2,1,"Arnaldo, Constancio",3.59,A,0.57,0.24,Arnaldo
8,AAS,100,10,90,28,23,7,5,4,2,0,0,1,0,3,0,"Peralta, Christine N",3.63,A,0.49,0.3,Peralta
9,AAS,100,68,56,11,13,9,3,3,2,2,0,0,1,0,0,"Chung, Ga Young",3.75,A,0.54,0.38,Chung
10,AAS,100,47,166,86,49,40,27,7,11,5,2,1,1,13,2,"Thomas, Merin A",3.46,A-,0.6,0.16,Thomas
11,AAS,100,16,37,29,40,19,4,6,4,0,0,0,1,2,1,"Kwon, Yaejoon",3.43,A-,0.55,-0.41,Kwon
12,AAS,100,11,25,6,2,0,0,0,0,0,2,0,1,0,0,"Carter, Regina S",3.74,A,0.71,0.35,Carter
13,AAS,100,29,133,66,36,54,28,6,16,4,3,0,1,7,2,"Lee, Sang S",3.41,A-,0.64,0.09,Lee
14,AAS,100,8,33,9,6,9,4,3,1,3,0,0,0,3,0,"Gonzalez, Daniel A",3.4,A,0.65,0.12,Gonzalez
15,AAS,100,114,70,13,9,12,6,3,3,2,1,1,1,6,0,"Boonsripaisal, Simon",3.67,A,0.56,0.33,Boonsripaisal
16,AAS,100,0,44,14,6,2,1,0,0,0,1,0,0,0,0,"Livingston, Susan B",3.78,A,0.42,0.11,Livingston
17,AAS,100,17,4,0,0,0,0,0,0,0,0,0,0,2,1,"Mukhopadhyay, Anirban",3.65,A+,0.33,0.17,Mukhopadhyay
18,AAS,100,11,75,0,3,25,1,1,11,0,1,1,0,3,0,"Park, Doo Jae",3.47,A,0.71,-0.02,Park
19,AAS,100,43,28,14,6,13,7,3,2,3,0,0,0,0,0,"Uhall, Michael B",3.61,A,0.61,0.04,Uhall
20,AAS,100,20,29,11,6,0,0,1,0,0,0,0,0,0,0,"Kim, Sujung",3.86,A,0.28,0.32,Kim
21,AAS,100,0,6,7,6,3,4,1,0,0,0,0,0,0,1,"Marasigan, Cynthia L",3.4,B+,0.49,-0.2,Marasigan
22,AAS,100,27,11,18,7,3,2,3,0,1,2,0,0,0,0,"Lee, Jean Y",3.61,A,0.62,0.09,Lee
23,AAS,100,75,124,12,17,19,5,6,0,2,0,1,0,0,2,"Davis, Thomas E",3.78,A,0.48,0.11,Davis
24,AAS,100,34,55,11,8,10,1,2,5,2,0,0,1,3,0,"Lee, Alexander J",3.59,A,0.63,0.1,Lee
25,AAS,100,16,62,12,3,8,0,5,4,0,1,1,0,0,0,"Horton, Christina M",3.68,A,0.64,0.16,Horton
26,AAS,100,28,38,22,10,22,4,2,0,0,0,0,0,4,2,"Kinase-Leggett, Elizabeth",3.53,A,0.46,-0.22,Kinase-Leggett
27,AAS,100,1,32,14,4,2,3,1,1,0,0,2,0,0,0,"Winkelmann, Marie T",3.62,A,0.67,0.18,Winkelmann
28,AAS,100,5,41,10,3,4,1,0,0,0,0,0,0,0,1,"Pyon, Heekyong T",3.83,A,0.32,0.24,Pyon
29,AAS,100,44,102,58,34,49,23,14,19,5,5,3,5,19,1,"Kang, Yoonjung",3.19,A-,0.78,-0.78,Kang
30,AAS,100,29,31,5,1,7,4,0,1,2,0,0,0,0,0,"Rosado-Torres, Alexander",3.73,A,0.55,0.45,Rosado-Torres
31,AAS,100,0,9,5,7,6,3,0,0,0,0,0,0,0,0,"Lee, Amy J",3.46,B+,0.45,0.04,Lee
32,AAS,100,2,15,3,2,0,0,0,0,0,0,0,0,1,0,"Lee, Sabrina Y",3.72,A,0.27,0.16,Lee
33,AAS,100,0,5,15,9,4,1,0,0,0,0,0,0,0,0,"Tsou, Elda",3.52,A-,0.33,-0.04,Tsou
34,AAS,100,13,41,15,10,10,5,4,0,0,0,0,0,0,0,"Arai, Sayuri",3.64,A,0.49,0.09,Arai
35,AAS,100,24,128,22,20,18,8,9,10,0,1,2,1,14,1,"Wang, Yu",3.41,A,0.67,-0.12,Wang
36,AAS,100,10,7,2,2,2,1,0,1,0,0,0,0,1,0,"Sharif, Lila A",3.56,A,0.53,-0.26,Sharif
37,AAS,120,1,11,18,10,13,13,7,5,2,1,1,1,0,1,"Pham, Vincent N",3.06,B,0.75,-0.78,Pham
38,AAS,120,0,12,19,18,8,4,0,0,0,0,0,0,0,0,"Komaki, Ryuta",3.48,A-,0.38,-0.42,Komaki
39,AAS,120,8,13,8,18,15,7,5,8,1,1,4,0,1,1,"Lee, Alexander J",3.05,B+,0.8,-0.76,Lee
40,AAS,120,4,22,14,16,16,8,18,16,4,2,4,0,0,2,"Arai, Sayuri",2.95,B,0.84,-0.96,Arai
41,AAS,120,0,29,14,11,6,4,0,0,0,0,0,0,0,0,"Lee, Sandra",3.64,A-,0.42,-0.05,Lee
42,ABE,436,6,14,6,8,9,2,2,2,0,0,1,0,1,0,"Wang, Xinlei",3.35,A-,0.66,0.49,Wang
43,ACCY,200,5,94,2,6,0,0,0,0,0,0,0,0,0,0,"Finnegan, Thomas",3.96,A,0.16,0.43,Finnegan
44,ACCY,200,87,125,18,20,18,10,6,0,0,0,0,0,0,0,"Zhang, Li",3.79,A,0.42,0.05,Zhang
45,ACCY,200,0,13,12,6,0,0,0,0,0,0,0,0,0,0,"Polinski, Paul W",3.74,A-,0.25,0.12,Polinski
46,ACCY,200,17,21,14,9,0,1,0,0,0,0,0,0,0,0,"Li, Wei",3.81,A,0.28,0.13,Li
47,ACCY,200,73,530,322,321,310,279,203,139,93,40,55,29,17,3,"Silhan, Peter A",3.06,B+,0.84,-0.34,Silhan
48,ACCY,201,15,33,23,15,12,24,7,5,6,0,2,0,7,4,"Korte, Brianne E",3.12,B+,0.74,-0.64,Korte
49,ACCY,201,11,21,14,4,8,5,2,5,2,0,1,0,2,0,"Hamilton, Lori C",3.32,A-,0.74,-0.09,Hamilton
50,ACCY,201,6,8,13,13,17,8,5,7,1,0,2,0,1,0,"Arvin, Kyle C",3.07,B,0.71,-0.31,Arvin
51,ACCY,201,40,44,30,10,14,8,6,6,0,0,0,0,0,0,"Jain, Ashima",3.6,A,0.57,-0.01,Jain
52,ACCY,201,4,8,16,10,16,10,10,6,0,0,2,0,0,0,"Foley, Paul R",3.07,B,0.69,-0.69,Foley
53,ACCY,201,3,11,9,11,9,10,7,5,3,0,5,0,1,0,"Ledvora, Joseph A",2.91,B,0.85,-0.15,Ledvora
54,ACCY,201,0,5,12,12,8,21,7,2,4,0,2,0,1,1,"Smigielski, Michael A",2.88,B,0.68,-0.48,Smigielski
55,ACCY,201,1,6,12,9,12,9,4,4,8,0,7,0,1,0,"Stefani, Marisa A",2.74,B,0.9,-0.83,Stefani
56,ACCY,201,6,20,26,35,26,21,8,9,5,0,6,0,3,0,"Ettleson, Daniel A",3.04,B+,0.73,0.01,Ettleson
57,ACCY,201,21,25,10,9,9,2,1,0,0,0,0,0,0,0,"Lahr, Tom M",3.71,A,0.42,-0.04,Lahr
58,ACCY,201,9,9,6,7,6,13,1,3,3,0,2,0,2,1,"Shannon, Ryan P",3.04,B+,0.8,-0.5,Shannon
59,ACCY,201,10,16,10,2,6,7,6,4,3,0,6,0,7,1,"Zhu, Xiaoxiao",2.82,B,0.97,-0.35,Zhu
60,ACCY,201,7,6,6,4,6,8,5,2,4,0,3,0,5,4,"Ye, Yina",2.71,B,0.89,-0.66,Ye
61,ACCY,201,38,24,32,20,4,12,4,12,2,0,2,0,4,0,"Donnelly, Brian W",3.34,A-,0.71,0.23,Donnelly
62,ACCY,201,14,8,13,10,12,15,8,3,10,0,12,0,5,1,"Hennessy, Thomas J",2.71,B,0.96,-1.02,Hennessy
