Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
AAS,100,754,1924,672,419,442,186,100,114,42,21,21,17,97,16
AAS,120,13,87,73,73,58,36,30,29,7,4,9,1,1,4
ABE,436,6,14,6,8,9,2,2,2,0,0,1,0,1,0
ACCY,200,182,783,368,362,328,290,209,139,93,40,55,29,17,3
ACCY,201,1386,2016,1837,1379,1315,1121,720,568,436,118,368,88,341,95
ACCY,202,770,2140,514,1912,1809,574,491,474,252,0,106,0,54,37
ACCY,301,358,1049,1168,1017,907,460,211,147,59,32,22,11,31,14
ACCY,302,266,988,1174,1120,973,482,209,77,43,15,13,8,13,11
ACCY,303,537,1160,975,898,651,360,210,146,94,49,35,52,34,15
ACCY,304,230,1142,1000,987,843,352,137,117,53,13,22,12,24,3
ACCY,312,273,993,727,858,967,421,166,158,40,18,25,8,21,29
ACCY,398,359,61,6,4,11,0,0,27,0,0,0,0,1,0
ACCY,405,70,827,840,975,700,228,127,51,30,7,8,0,3,10
ACCY,410,258,679,424,378,509,322,124,80,31,12,31,4,8,13
ACCY,415,6,273,139,198,179,83,23,43,18,5,9,5,6,2
ACCY,451,89,501,160,223,435,84,50,97,21,2,4,0,4,1
ACCY,500,1698,1803,1329,722,600,173,74,32,11,3,3,0,34,17
ACCY,501,464,920,611,454,418,148,70,51,23,8,12,9,53,16
ACCY,502,256,897,546,393,301,179,84,63,18,5,13,1,13,7
ACCY,503,784,3211,1797,1381,1124,378,127,95,33,8,10,3,51,22
ACCY,504,197,1002,525,346,745,86,16,10,5,0,3,0,4,0
ACCY,505,244,1578,555,449,487,161,45,45,6,2,2,0,19,4
ACCY,506,64,86,64,93,52,22,0,11,0,0,1,0,0,0
ACCY,507,159,240,81,48,32,19,19,12,5,4,1,0,2,1
ACCY,510,165,830,485,497,530,197,29,21,4,0,1,0,3,2
ACCY,511,51,303,433,355,195,36,10,9,1,0,0,0,1,0
ACCY,512,189,1329,600,300,137,48,10,12,1,0,0,1,3,1
ACCY,515,12,477,359,382,398,119,9,16,3,0,1,1,0,2
ACCY,517,112,1093,509,401,414,148,14,21,3,0,0,0,1,5
ACCY,518,159,30,3,4,1,0,0,1,0,0,0,0,0,0
ACCY,551,0,41,28,54,133,8,1,0,0,0,0,0,0,0
ACCY,552,1,101,81,90,149,6,2,0,0,0,0,0,0,0
