Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
AAS,100,3,76,22,18,18,8,1,2,1,1,0,0,3,0,"Zheng, Reanne"
AAS,100,21,12,0,1,0,0,0,0,0,0,0,0,0,0,"Manalansan, Martin F"
AAS,100,0,38,6,2,1,1,0,0,0,0,0,0,1,0,"Shin, Jeongsu"
AAS,100,0,11,11,4,3,3,0,1,0,0,0,0,0,0,"Mariano, Lorena"
AAS,100,11,47,22,8,10,1,3,2,1,0,1,0,5,0,"Guruparan, Akil"
AAS,100,6,89,17,12,20,6,5,6,4,0,0,1,2,0,"Atienza, Paul Michael L"
AAS,100,10,26,19,8,11,9,4,5,3,1,5,2,3,1,"Paik, Angela N"
AAS,100,1,128,57,24,22,7,3,5,2,0,2,1,2,1,"Arnaldo, Constancio"
AAS,100,10,90,28,23,7,5,4,2,0,0,1,0,3,0,"Peralta, Christine N"
AAS,100,68,56,11,13,9,3,3,2,2,0,0,1,0,0,"Chung, Ga Young"
AAS,100,47,166,86,49,40,27,7,11,5,2,1,1,13,2,"Thomas, Merin A"
AAS,100,16,37,29,40,19,4,6,4,0,0,0,1,2,1,"Kwon, Yaejoon"
AAS,100,11,25,6,2,0,0,0,0,0,2,0,1,0,0,"Carter, Regina S"
AAS,100,29,133,66,36,54,28,6,16,4,3,0,1,7,2,"Lee, Sang S"
AAS,100,8,33,9,6,9,4,3,1,3,0,0,0,3,0,"Gonzalez, Daniel A"
AAS,100,114,70,13,9,12,6,3,3,2,1,1,1,6,0,"Boonsripaisal, Simon"
AAS,100,0,44,14,6,2,1,0,0,0,1,0,0,0,0,"Livingston, Susan B"
AAS,100,17,4,0,0,0,0,0,0,0,0,0,0,2,1,"Mukhopadhyay, Anirban"
AAS,100,11,75,0,3,25,1,1,11,0,1,1,0,3,0,"Park, Doo Jae"
AAS,100,43,28,14,6,13,7,3,2,3,0,0,0,0,0,"Uhall, Michael B"
AAS,100,20,29,11,6,0,0,1,0,0,0,0,0,0,0,"Kim, Sujung"
AAS,100,0,6,7,6,3,4,1,0,0,0,0,0,0,1,"Marasigan, Cynthia L"
AAS,100,27,11,18,7,3,2,3,0,1,2,0,0,0,0,"Lee, Jean Y"
AAS,100,75,124,12,17,19,5,6,0,2,0,1,0,0,2,"Davis, Thomas E"
AAS,100,34,55,11,8,10,1,2,5,2,0,0,1,3,0,"Lee, Alexander J"
AAS,100,16,62,12,3,8,0,5,4,0,1,1,0,0,0,"Horton, Christina M"
AAS,100,28,38,22,10,22,4,2,0,0,0,0,0,4,2,"Kinase-Leggett, Elizabeth"
AAS,100,1,32,14,4,2,3,1,1,0,0,2,0,0,0,"Winkelmann, Marie T"
AAS,100,5,41,10,3,4,1,0,0,0,0,0,0,0,1,"Pyon, Heekyong T"
AAS,100,44,102,58,34,49,23,14,19,5,5,3,5,19,1,"Kang, Yoonjung"
