Years,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2022,Fall,AAS,100,0,23,8,6,5,1,0,1,0,0,0,0,1,0,"Zheng, Reanne"
2022,Fall,AAS,100,17,4,0,0,0,0,0,0,0,0,0,0,2,1,"Mukhopadhyay, Anirban"
2022,Fall,AAS,100,0,38,6,2,1,1,0,0,0,0,0,0,1,0,"Shin, Jeongsu"
2022,Fall,AAS,100,2,15,3,2,0,0,0,0,0,0,0,0,1,0,"Lee, Sabrina Y"
2022,Fall,AAS,100,0,32,8,6,0,1,1,0,0,0,0,0,1,0,"Wang, Yu"
2022,Fall,ACCY,200,17,78,39,25,20,30,16,10,6,2,1,1,2,1,"Silhan, Peter A"
2022,Fall,ACCY,201,68,114,76,47,49,35,21,21,28,6,11,15,13,5,"Fisher, Mitchell B"
2022,Fall,ACCY,202,43,78,22,32,48,17,12,13,11,0,1,0,1,3,"Shapland, Julia P"
2022,Fall,ACCY,301,9,13,9,7,5,0,4,1,1,0,0,0,0,0,"Johnson, Jennifer A"
2022,Fall,ACCY,301,16,11,11,11,6,6,10,0,2,1,0,0,0,1,"Anderson, Spencer B"
2022,Fall,ACCY,302,7,14,13,13,7,8,7,4,2,1,3,0,0,0,"Curtis, Susan M"
2022,Fall,ACCY,302,12,20,9,9,16,8,5,1,0,0,0,0,1,0,"Samet, Jordan A"
2022,Fall,ACCY,303,24,10,8,12,5,1,6,4,5,1,1,0,0,0,"Pachera, Susan"
2022,Fall,ACCY,303,6,11,8,10,7,4,2,1,1,1,0,1,0,0,"Godsell, David"
2022,Fall,ACCY,304,0,23,5,1,13,4,2,6,1,0,0,0,0,0,"Williamson, Michael"
2022,Fall,ACCY,304,9,17,12,13,17,5,0,7,1,0,0,0,0,0,"Dahle, Andrew J"
2022,Fall,ACCY,312,12,9,1,10,8,0,3,5,0,0,0,0,0,1,"Vuong, Anh"
2022,Fall,ACCY,312,0,22,0,1,15,0,0,6,0,0,0,0,2,1,"Holder, Charles B"
2022,Fall,ACCY,312,15,6,4,4,5,10,2,1,0,0,0,0,0,0,"Penn, Michael W"
2022,Fall,ACCY,405,3,19,4,1,3,3,1,1,0,0,0,0,0,0,"Rogowski, Edward J"
2022,Fall,ACCY,405,0,13,20,13,12,3,1,2,1,0,1,0,0,1,"Thompson, Anne M"
2022,Fall,ACCY,405,2,55,13,15,11,4,1,2,1,0,0,0,1,0,"Kink, Dawn M"
2022,Fall,ACCY,410,7,25,13,10,10,10,4,3,3,0,1,0,0,0,"Kustanovich, Michael"
2022,Fall,ACCY,410,2,14,19,21,8,9,2,1,4,0,1,0,0,1,"Ibrahim, Adel Nematallah"
2022,Fall,ACCY,451,0,37,0,0,14,0,0,7,5,0,0,0,1,0,"Holder, Charles B"
2022,Fall,ACCY,451,2,10,18,18,8,1,2,2,1,0,2,0,0,0,"Beardsley, Erik L"
2022,Fall,ACCY,500,19,9,8,4,1,0,0,2,0,2,0,0,0,0,"Augusto Sampaio, Gerlando"
2022,Fall,ACCY,500,580,211,78,39,17,3,3,1,1,0,0,0,4,3,"Urcan, Oktay"
